"#Data was processed in Genespring 11.5.1.  Note filtering was not the same for CSM data as for YPD data, so number of probes differs.  Also, fold changes are NOT log2."																							
	"gal11-myc med3? vs BY4741, YPD"				"gal11? med3? vs BY4741, YPD"					"gal11-myc med3? vs BY4741, CSM"					"gal11? med3? vs BY4741, CSM"					"BY4741 vs BY4742, YPD"			
Probe Set ID	p-value	Corrected p-value	Fold change		Probe Set ID	p-value	Corrected p-value	Fold change		Probe Set ID	p-value	Corrected p-value	Fold change		Probe Set ID	p-value	Corrected p-value	Fold change		Probe Set ID	p-value	Corrected p-value	Fold change
RPTR-Sc-A00196-1_s_at	0.088882685	0.28812876	-1.2599655		RPTR-Sc-AB076373-1_at	0.19333452	0.3885806	-1.254123		RPTR-Sc-AJ002682-1_s_at	0.044948358	0.12915201	-1.2526623		RPTR-Sc-AJ002682-1_s_at	8.39E-08	1.11E-04	791.4336		AFFX-YFL039CM_at	0.31690896	0.6255807	-1.0137016
AFFX-YFL039CM_at	0.1660675	0.4046532	1.0184542		RPTR-Sc-A00196-1_s_at	0.9304002	0.9631387	-1.007736		RPTR-Sc-AF323980-1_at	0.46969733	0.65459794	-1.0829707		RPTR-Sc-AF323980-1_at	0.66006535	0.8308276	-1.0692744		AFFX-YFL039C5_at	0.068490915	0.5033901	-1.0357941
AFFX-YFL039C5_at	0.16200577	0.39950857	1.0388454		AFFX-YFL039CM_at	0.034679748	0.13305865	1.0554775		RPTR-Sc-AF298789-1_s_at	0.010367715	0.040391583	1.0833598		RPTR-Sc-AF298789-1_s_at	0.03224664	0.1362162	1.179985		AFFX-YFL039C3_at	0.40505788	0.68514365	1.0106091
AFFX-YFL039C3_at	0.01390178	0.10809383	1.0439298		AFFX-YFL039C5_at	0.053696636	0.1731047	1.0722479		RPTR-Sc-AF292560-1_s_at	0.32839134	0.52867717	-1.0893366		RPTR-Sc-AF292560-1_s_at	0.9977004	0.9989096	1.0000751		AFFX-YER148wM_at	0.045834176	0.5033901	-1.1504267
AFFX-YER148wM_at	0.70022357	0.8464173	-1.0171239		AFFX-YFL039C3_at	0.00311957	0.033445384	1.0839924		RPTR-Sc-AF292559-4_s_at	0.29251167	0.49147716	-1.0824773		RPTR-Sc-AF292559-4_s_at	0.21451369	0.46255043	-1.0471051		AFFX-YER148w5_at	0.04032416	0.5033901	-1.2250228
AFFX-YER148w5_at	0.89732665	0.9519381	-1.0101722		AFFX-YER148wM_at	9.25E-04	0.018406734	1.3914131		RPTR-Sc-AF292559-3_s_at	0.32015195	0.51970005	-1.1540943		RPTR-Sc-AF292559-3_s_at	0.2850108	0.54166925	-1.1535088		AFFX-YER148w3_at	0.30783883	0.6176585	-1.0465543
AFFX-YER148w3_at	0.034097254	0.17001246	-1.058189		AFFX-YER148w5_at	0.00704342	0.05055416	1.5669875		RPTR-Sc-AF292559-2_s_at	0.40812528	0.60148257	1.0668529		RPTR-Sc-AF292559-2_s_at	0.36232772	0.6087819	1.095976		AFFX-YER022wM_at	0.14185224	0.5070126	-1.1471537
AFFX-YER022wM_at	0.27716598	0.52587724	1.323423		AFFX-YER148w3_at	3.01E-04	0.010371043	1.2991178		RPTR-Sc-AF292559-1_at	0.6332425	0.78087044	1.0640944		RPTR-Sc-AF292559-1_at	0.71550375	0.86258453	-1.0499724		AFFX-YER022w5_at	0.10412149	0.5033901	-1.261509
AFFX-YER022w5_at	0.37441188	0.6174468	1.3248785		AFFX-YER022wM_at	0.00239547	0.029105473	1.7673786		RPTR-Sc-AB076373-1_at	0.29586512	0.49498072	1.0976648		RPTR-Sc-AB076373-1_at	0.3478496	0.5964931	1.0547701		AFFX-YER022w3_at	0.054675095	0.5033901	-1.1105963
AFFX-YER022w3_at	0.4310037	0.6653942	1.1597149		AFFX-YER022w5_at	0.02111208	0.09766822	1.6553462		RPTR-Sc-A00196-1_s_at	0.12160289	0.27105635	1.1913052		RPTR-Sc-A00196-1_s_at	0.9912642	0.99673676	1.00069		AFFX-TrpnX-M_at	0.6836449	0.85044533	1.0440093
AFFX-TrpnX-5_at	0.139893	0.3680567	-1.1075447		AFFX-YER022w3_at	2.95E-04	0.010358768	1.564162		AFFX-YFL039CM_at	0.26727507	0.46317506	1.0091567		AFFX-YFL039CM_at	0.47056624	0.7017778	-1.0558664		AFFX-TrpnX-5_at	0.038859334	0.5033901	-1.0995258
AFFX-ThrX-M_at	0.1604214	0.3979973	1.5246816		AFFX-TrpnX-M_at	0.90858203	0.9510735	-1.0150187		AFFX-YFL039C5_at	0.6018145	0.7583751	1.0049424		AFFX-YFL039C5_at	0.35266194	0.60093445	-1.0675339		AFFX-ThrX-M_at	0.15450095	0.5117757	1.2681178
AFFX-ThrX-5_at	0.0623713	0.2372281	1.4967653		AFFX-TrpnX-5_at	0.10092358	0.25872037	-1.1015923		AFFX-YFL039C3_at	0.30533588	0.5040553	1.0118297		AFFX-YFL039C3_at	0.76504755	0.8904786	-1.0089068		AFFX-ThrX-5_at	0.21263142	0.5419438	1.1520756
AFFX-ThrX-3_at	0.32601172	0.574435	1.3849827		AFFX-ThrX-M_at	0.14302507	0.32101354	1.4399943		AFFX-YER148wM_at	0.008205016	0.033822864	1.1997309		AFFX-YER148wM_at	0.13051525	0.34795576	1.1237284		AFFX-ThrX-3_at	0.16602658	0.51669705	1.3700749
AFFX-Scv2-TrpnX-M_at	0.9460552	0.97444963	-1.0033625		AFFX-ThrX-5_at	0.48810482	0.6695901	1.1428379		AFFX-YER148w5_at	0.001161464	0.007801152	1.2735991		AFFX-YER148w5_at	0.8119141	0.91500545	1.0582739		AFFX-Scv2-TrpnX-M_at	0.50984395	0.7546368	1.0830569
AFFX-Scv2-TrpnX-5_at	0.12875222	0.35281265	-1.2205707		AFFX-ThrX-3_at	0.5064467	0.68497527	1.2266053		AFFX-YER148w3_at	8.32E-05	0.00138861	1.1673813		AFFX-YER148w3_at	0.4199716	0.6630236	1.1118443		AFFX-Scv2-TrpnX-5_at	0.07637307	0.5033901	-1.124473
AFFX-Scv2-TrpnX-3_at	0.75353545	0.87532616	-1.0345182		AFFX-Scv2-TrpnX-M_at	0.71563923	0.8349679	1.0464461		AFFX-YER022wM_at	0.011749209	0.044550784	1.2420964		AFFX-YER022wM_at	0.4224286	0.6641311	1.0527211		AFFX-Scv2-TrpnX-3_at	0.5359413	0.7694414	-1.0650384
AFFX-Scv2-r2-P1-cre-5_s_at	0.4704956	0.69426876	1.0926297		AFFX-Scv2-TrpnX-5_at	0.015459043	0.0807123	-1.3165108		AFFX-YER022w5_at	0.2922111	0.49117735	1.1314417		AFFX-YER022w5_at	0.70328045	0.8554596	1.0574939		AFFX-Scv2-r2-P1-cre-5_s_at	0.14019874	0.5066349	1.1755719
AFFX-Scv2-r2-P1-cre-3_s_at	0.3920158	0.63164526	1.0857028		AFFX-Scv2-TrpnX-3_at	0.78569454	0.8822117	-1.0244386		AFFX-YER022w3_at	0.001460219	0.009160314	1.2753114		AFFX-YER022w3_at	0.8389173	0.92959726	1.0172353		AFFX-Scv2-r2-P1-cre-3_s_at	0.22633855	0.5543207	1.0854882
AFFX-Scv2-r2-Ec-bioD-5_at	0.8336254	0.9200213	1.0397918		AFFX-Scv2-r2-P1-cre-5_s_at	0.8186474	0.90199924	1.033349		AFFX-TrpnX-M_at	0.34714618	0.54670894	-1.0223302		AFFX-TrpnX-M_at	0.114658065	0.32136017	1.0284635		AFFX-Scv2-r2-Ec-bioD-5_at	0.17778793	0.5232207	1.2876757
AFFX-Scv2-r2-Ec-bioD-3_at	0.9425958	0.97297657	-1.0072327		AFFX-Scv2-r2-P1-cre-3_s_at	0.5531428	0.72151613	1.0569141		AFFX-TrpnX-5_at	0.35041517	0.54935724	-1.07021		AFFX-TrpnX-5_at	0.44674355	0.6837486	-1.055158		AFFX-Scv2-r2-Ec-bioD-3_at	0.24387199	0.56940275	1.1368722
AFFX-Scv2-r2-Ec-bioC-5_at	0.80539936	0.9037533	-1.0457076		AFFX-Scv2-r2-Ec-bioD-5_at	0.981598	0.989757	-1.0044414		AFFX-TrpnX-3_at	0.66478384	0.8020642	1.0134381		AFFX-TrpnX-3_at	0.027909262	0.12280123	-1.0883507		AFFX-Scv2-r2-Ec-bioC-5_at	0.19401789	0.5313299	1.239553
AFFX-Scv2-r2-Ec-bioC-3_at	0.7707518	0.8856806	-1.0535161		AFFX-Scv2-r2-Ec-bioD-3_at	0.68638986	0.8165214	-1.0475388		AFFX-ThrX-M_at	0.95346856	0.97591096	1.004845		AFFX-ThrX-M_at	0.19305004	0.43568504	1.1780827		AFFX-Scv2-r2-Ec-bioC-3_at	0.22674853	0.55480903	1.2178189
AFFX-Scv2-r2-Ec-bioB-M_at	0.8078335	0.90498066	-1.0350184		AFFX-Scv2-r2-Ec-bioC-5_at	0.36789924	0.56857157	-1.2060474		AFFX-ThrX-5_at	0.42276376	0.6150929	-1.0440632		AFFX-ThrX-5_at	0.64497626	0.8233034	-1.0305618		AFFX-Scv2-r2-Ec-bioB-M_at	0.23626786	0.5634626	1.1787091
AFFX-Scv2-r2-Ec-bioB-5_at	0.8973137	0.9519381	-1.021824		AFFX-Scv2-r2-Ec-bioC-3_at	0.4170489	0.61043847	-1.1563531		AFFX-ThrX-3_at	0.74391955	0.8511729	-1.012642		AFFX-ThrX-3_at	0.51429445	0.7350523	1.1537021		AFFX-Scv2-r2-Ec-bioB-5_at	0.17381224	0.5226485	1.1634746
