gene	name	baseMean	log2_FC	lfcSE	stat	pvalue	padj	minus_log10_pvalue
YER129W	SAK1	4948.674552	-0.051679471	0.071140927	0.726437966	0.467570323	0.999020118	0.000425766
YER130C	COM2	7280.18658	-0.111986376	0.29409375	0.380784618	0.703363074	0.999020118	0.000425766
YER131W	RPS26B	5543.527215	0.251210011	0.267706701	-0.93837775	0.348050316	0.999020118	0.000425766
YER132C	PMD1	3053.405843	0.243846253	0.144531751	-1.687146606	0.091575165	0.903232871	0.044200265
YER133W	GLC7	13326.56812	0.065204373	0.128218633	-0.508540538	0.611074318	0.999020118	0.000425766
YER136W	GDI1	10656.9297	-0.20519465	0.138659062	1.479850263	0.138913211	0.941756255	0.026061487
YER141W	COX15	9743.199028	-0.062740126	0.133022133	0.471651782	0.637175359	0.999020118	0.000425766
YER142C	MAG1	2453.842258	-0.107095985	0.093298781	1.147881937	0.251017306	0.999020118	0.000425766
YER143W	DDI1	3731.23656	-0.348131224	0.164989767	2.110017063	0.034856886	0.687236933	0.162893509
YER144C	UBP5	2693.214056	-0.348674487	0.186647275	1.868093103	0.061749095	0.807730043	0.092733763
YER145C	FTR1	2264.31334	-0.349492538	0.303682847	1.150847148	0.249795124	0.999020118	0.000425766
YER147C	SCC4	2507.108739	0.003057476	0.124459887	-0.024565959	0.980401172	0.999020118	0.000425766
YER148W	SPT15	7678.911157	-0.027363314	0.090594767	0.30204078	0.762620976	0.999020118	0.000425766
YER149C	PEA2	3165.44539	-0.350218974	0.203813922	1.718327042	0.08573698	0.89403978	0.048643157
YER150W	SPI1	83018.80901	-0.295201899	0.144248983	2.046474741	0.040709685	0.719095326	0.143213534
YER151C	UBP3	4184.555604	0.15644257	0.101142211	-1.546758458	0.121921501	0.936945704	0.028285576
YER154W	OXA1	2093.30765	-0.086395945	0.167495804	0.515809606	0.605987393	0.999020118	0.000425766
YER155C	BEM2	4041.889965	0.048478629	0.102035619	-0.475114765	0.634705175	0.999020118	0.000425766
YER157W	COG3	3122.248132	-0.237139693	0.105996814	2.237234153	0.02527104	0.569315296	0.244647148
YER158C	YER158C	5756.353324	-0.111463451	0.291270343	0.3826804	0.701956749	0.999020118	0.000425766
YER159C	BUR6	8047.968133	-0.193276873	0.126041792	1.533434822	0.125168754	0.936945704	0.028285576
YER161C	SPT2	5217.07128	-0.013221526	0.085152218	0.155269309	0.87660901	0.999020118	0.000425766
YER162C	RAD4	3657.92051	-0.150731543	0.128342751	1.174445321	0.240216701	0.999020118	0.000425766
YER163C	GCG1	2026.42104	0.019453389	0.112344697	-0.173158053	0.862527194	0.999020118	0.000425766
YER164W	CHD1	4135.592354	0.105421992	0.087389264	-1.206349457	0.227682776	0.999020118	0.000425766
YER165W	PAB1	19651.57012	-0.05677185	0.178386282	0.318252329	0.750293542	0.999020118	0.000425766
YER166W	DNF1	4540.223023	0.157218398	0.085862472	-1.831049057	0.067093221	0.823073331	0.08456147
YER167W	BCK2	4182.51745	0.11927014	0.080837026	-1.475439491	0.140094425	0.941756255	0.026061487
YER168C	CCA1	2223.12823	0.116914189	0.090725173	-1.288663178	0.197515209	0.999020118	0.000425766
YER169W	RPH1	10393.02331	0.158297437	0.13383069	-1.182818654	0.236881026	0.999020118	0.000425766
YER171W	RAD3	2852.59345	0.069493573	0.083340419	-0.833851978	0.404364401	0.999020118	0.000425766
YER172C	BRR2	2548.297208	0.05576536	0.107422798	-0.519120348	0.60367682	0.999020118	0.000425766
YER174C	GRX4	2203.373001	0.399160291	0.203703486	-1.95951625	0.050052359	0.766585502	0.115439399
YER175C	TMT1	13673.59981	0.20462201	0.216173538	-0.946563635	0.343861182	0.999020118	0.000425766
YER176W	ECM32	5825.327276	0.312416521	0.208794049	-1.496290355	0.134578007	0.941756255	0.026061487
YER177W	BMH1	40089.46826	0.282466502	0.098227112	-2.875647027	0.004032003	0.261219245	0.58299483
YER178W	PDA1	16011.42649	0.044489785	0.090592515	-0.491097809	0.623357271	0.999020118	0.000425766
YER182W	FMP10	3324.504562	0.044471701	0.164433661	-0.270453753	0.786811192	0.999020118	0.000425766
YER184C	TOG1	2310.66196	-0.348934297	0.153597606	2.271743064	0.023102034	0.54387393	0.264501758
YER186C	YER186C	3157.292221	0.019197811	0.112214524	-0.171081341	0.864159807	0.999020118	0.000425766
YER188W	YER188W	2679.517416	0.274816207	0.264026551	-1.0408658	0.297937836	0.999020118	0.000425766
YFL002C	SPB4	2500.984111	-0.127523327	0.126787258	1.005805539	0.314509123	0.999020118	0.000425766
YFL004W	VTC2	3921.491154	-0.000994417	0.100803368	0.00986492	0.992129061	0.999020118	0.000425766
YFL005W	SEC4	4917.860641	0.022849224	0.072208208	-0.31643527	0.75167215	0.999020118	0.000425766
YFL007W	BLM10	6651.468801	0.060093414	0.114406698	-0.52526133	0.599401535	0.999020118	0.000425766
YFL009W	CDC4	4271.846972	-0.160939291	0.146147788	1.10120922	0.27080561	0.999020118	0.000425766
YFL010C	WWM1	7942.137677	0.022965599	0.085703176	-0.267966714	0.78872494	0.999020118	0.000425766
YFL013C	IES1	4297.670633	0.00982996	0.097273377	-0.101054988	0.919506809	0.999020118	0.000425766
YFL014W	HSP12	86628.80012	0.054662739	0.216003952	-0.253063605	0.800219062	0.999020118	0.000425766
YFL016C	MDJ1	6232.996126	0.080158843	0.183907225	-0.435865656	0.662934205	0.999020118	0.000425766
YFL018C	LPD1	10130.77389	0.017492442	0.136339709	-0.128300417	0.897911235	0.999020118	0.000425766
YFL021W	GAT1	22825.50101	0.238514285	0.168816281	-1.412863043	0.157695998	0.958504945	0.018405642
YFL022C	FRS2	6786.302168	0.291829074	0.122118919	-2.389712229	0.016861579	0.475717528	0.322650847
YFL023W	BUD27	3217.99719	0.020813459	0.092055474	-0.226096921	0.82112604	0.999020118	0.000425766
YFL025C	BST1	2479.811265	0.098037348	0.118940883	-0.824252735	0.409795968	0.999020118	0.000425766
YFL028C	CAF16	6705.826381	0.086763691	0.168160004	-0.515959142	0.605882946	0.999020118	0.000425766
YFL030W	AGX1	5568.16772	-0.171683906	0.178072376	0.964124306	0.334983608	0.999020118	0.000425766
YFL031W	HAC1	11574.717	-0.127589517	0.139736599	0.913071574	0.361204899	0.999020118	0.000425766
YFL033C	RIM15	4209.014366	0.106870261	0.098801306	-1.081668503	0.279399854	0.999020118	0.000425766
YFL034C-A	RPL22B	4518.881489	0.636975686	0.199569421	-3.191749929	0.001414137	0.183094907	0.737323735
YFL034W	MIL1	2205.581244	-0.018640853	0.119942646	0.155414726	0.876494376	0.999020118	0.000425766
YFL036W	RPO41	3260.432965	0.064887169	0.143344875	-0.452664729	0.650790181	0.999020118	0.000425766
YFL038C	YPT1	6635.340087	-0.136033818	0.11294213	1.204455932	0.228413405	0.999020118	0.000425766
YFL039C	ACT1	26606.25211	0.018523112	0.093605282	-0.197885334	0.843134779	0.999020118	0.000425766
YFL041W	FET5	4616.413589	-0.108247361	0.084347152	1.283355257	0.199367642	0.999020118	0.000425766
YFL042C	LAM5	4412.347248	-0.172388984	0.097307291	1.771593697	0.076462027	0.845607556	0.072831145
YFL045C	SEC53	2891.517792	0.031582083	0.143830231	-0.219578892	0.826199132	0.999020118	0.000425766
YFL046W	FMP32	2587.783366	0.13355874	0.188251077	-0.709471319	0.478032043	0.999020118	0.000425766
YFL047W	RGD2	2219.391184	0.11029398	0.136144258	-0.810125829	0.417867861	0.999020118	0.000425766
YFL048C	EMP47	2869.791182	0.02009995	0.096944585	-0.207334423	0.835748693	0.999020118	0.000425766
YFL049W	SWP82	2293.163202	-0.033699542	0.082782477	0.407085456	0.683945225	0.999020118	0.000425766
YFL054C	AQY3	5426.219333	-0.775688894	0.289665766	2.677875623	0.007409073	0.324264252	0.489100927
YFL058W	THI5	2417.786636	-0.167495015	0.216649826	0.773114006	0.439454913	0.999020118	0.000425766
YFR002W	NIC96	2787.382997	-0.040417345	0.112223127	0.360151657	0.718733724	0.999020118	0.000425766
YFR004W	RPN11	6618.602199	-0.028691898	0.099924462	0.287135872	0.774008286	0.999020118	0.000425766
YFR006W	YFR006W	4439.261386	-0.059943674	0.115491491	0.519031091	0.60373906	0.999020118	0.000425766
YFR009W	GCN20	3232.201309	0.085514759	0.094630189	-0.90367313	0.366168751	0.999020118	0.000425766
YFR010W	UBP6	4827.119698	-0.089958849	0.134426017	0.66920713	0.503363359	0.999020118	0.000425766
YFR013W	IOC3	2293.459213	-0.052346108	0.112070609	0.467081494	0.640441573	0.999020118	0.000425766
YFR014C	CMK1	4139.310519	-0.608545775	0.236943974	2.56831083	0.010219547	0.37730793	0.423304067
YFR016C	AIP5	4681.338513	0.141691919	0.202025901	-0.701355216	0.483081363	0.999020118	0.000425766
YFR017C	IGD1	7408.159264	-0.212154153	0.216794644	0.978594994	0.327780134	0.999020118	0.000425766
YFR019W	FAB1	2223.665486	-0.027193906	0.135014755	0.201414325	0.840374615	0.999020118	0.000425766
YFR022W	ROG3	8939.674129	-0.459339319	0.22672054	2.026015458	0.042763201	0.729035011	0.137251615
YFR024C-A	LSB3	3928.308602	0.035544177	0.074954286	-0.474211401	0.635349164	0.999020118	0.000425766
YFR025C	HIS2	4825.084375	0.103317522	0.131502862	-0.785667476	0.432062322	0.999020118	0.000425766
YFR029W	PTR3	3319.727343	-0.150549721	0.089961273	1.673494787	0.094229932	0.910234676	0.040846624
YFR030W	MET10	27218.72406	-0.16052702	0.123731626	1.297380672	0.194500239	0.999020118	0.000425766
YFR031C-A	RPL2A	5626.064182	0.150212819	0.254380728	-0.590503927	0.554852853	0.999020118	0.000425766
YFR032C-A	RPL29	4123.445505	0.350573899	0.176078149	-1.991013086	0.046479449	0.746037523	0.127239328
YFR033C	QCR6	9010.859471	-0.029609706	0.154516437	0.191628193	0.848033457	0.999020118	0.000425766
YFR034C	PHO4	2973.503999	-0.069168106	0.14077969	0.491321621	0.62319899	0.999020118	0.000425766
