gene	LAB.A	LAB.B	med15.A	med15.B	WY7.A	WY7.B	WY15.A	WY15.B	WY23.A	WY23.B	
YNL019C	2	1	1	1	1	0	0	0	0	3	
YNL018C	20	18	61	40	10	18	23	15	9	11	
YNL017C	4	1	11	6	3	1	4	7	5	2	
YNL016W	6659	6938	8812	9583	5053	5183	7518	5819	6087	6646	
YNL015W	9782	8555	6136	6082	7758	8156	8499	9159	7699	8757	
YNL014W	2452	2365	3760	3675	1754	1523	2089	1820	1890	1897	
YNL013C	0	0	0	0	3	0	0	0	2	1	
YNL012W	198	263	1018	1098	151	143	172	149	155	179	
YNL011C	2259	1643	2142	2789	1319	1532	1749	2228	1444	1492	
YNL010W	3371	3415	3732	4162	2457	2626	3577	2929	2954	2940	
YNL009W	1153	930	1754	1885	730	685	886	1027	770	754	
YNL008C	2119	2008	3208	3323	1458	1320	1965	1766	1631	1596	
YNL007C	16418	10743	17050	21749	11016	14748	13566	17992	14136	17083	
YNL006W	4631	3672	3337	3410	3191	3777	4101	4289	3825	3980	
YNL005C	5127	4569	4598	4972	3678	4234	5182	4931	4635	4445	
YNL004W	9471	7888	9370	9359	6211	6561	8092	8312	7607	7823	
YNL003C	3179	3141	3997	3876	2346	2364	2529	2684	2593	2730	
YNL002C	3727	4661	3925	4406	2828	2864	4793	3266	3796	3739	
YNL001W	2382	2314	1901	2365	1620	1537	2618	2314	2064	1887	
YNR001C	9655	11262	8438	8108	6994	7375	5587	7652	7141	8347	
YNR001W-A	2	7	6	5	5	1	1	6	3	3	
YNR002C	5089	7057	4995	2363	4748	3115	4675	3968	3369	3104	
YNR003C	966	1158	1562	1559	763	727	1155	1005	853	863	
YNR003W-A	0	0	0	1	0	0	0	0	0	0	
YNR004W	685	594	818	892	492	495	583	592	547	536	
YNR005C	1	0	2	0	2	0	0	0	0	0	
YNR006W	5586	5889	6414	5477	4588	4043	4659	4624	4530	4484	
YNR007C	2915	2713	3061	3222	1816	1643	2193	2750	1979	2082	
YNR008W	1258	1193	2124	2352	844	948	1259	1376	1067	1063	
YNR009W	45	43	203	139	33	26	43	50	38	46	
YNR010W	790	885	939	860	591	597	839	639	697	697	
YNR011C	2543	2399	3204	2966	1723	1476	2472	2196	1893	1771	
YNR012W	3066	3258	2656	2489	2270	2022	3610	2523	2536	2340	
YNR013C	3334	3386	4783	3512	2363	2126	4179	2606	2661	2822	
YNR014W	19314	29569	4573	1836	24430	18148	25765	18605	17711	18157	
YNR015W	1380	1576	3091	2407	1140	993	1519	1261	1250	1253	
YNR016C	9971	22676	11227	14698	12883	13822	19228	7259	17026	17113	
YNR017W	3634	5170	4907	5416	3293	3773	5689	3254	4247	4529	
YNR018W	6281	9062	6017	7037	5598	6726	9288	5666	7758	8794	
YNR019W	3417	4807	2780	2532	3277	3244	3472	2550	3951	4091	
YNR020C	1168	1195	1216	1288	879	889	1385	1237	1006	983	
YNR021W	2109	2087	2908	2940	1455	1307	2418	1769	1623	1717	
YNR022C	1401	1298	1198	1527	911	951	1541	1267	1115	1244	
YNR023W	1992	1685	2265	2332	1344	1329	1994	1910	1473	1537	
YNR024W	1831	1756	1746	2050	1235	1184	1821	1847	1555	1620	
YNR025C	137	157	265	252	105	111	198	132	120	140	
YNR026C	2212	2072	2839	2551	1401	1379	2952	1916	1927	1946	
YNR027W	2044	2043	2863	2977	1391	1611	2932	2008	2014	2180	
YNR028W	1238	1087	2033	2110	817	775	1255	1056	985	1033	
YNR029C	1589	1719	2287	2465	1025	1063	1946	1456	1465	1351	
YNR030W	1294	1221	3051	2483	976	906	1430	1160	896	991	
YNR031C	2368	2735	2093	2343	1743	1413	2442	2314	1938	1885	
YNR032W	1781	1862	2281	1867	1447	1476	1639	1535	1329	1436	
YNR032C-A	864	764	980	1070	638	694	859	724	710	746	
YNR033W	4671	7340	6002	3793	4547	2502	4210	3631	3633	2824	
YNR034W	3885	2992	4523	4363	2483	2489	2528	4098	2586	2887	
YNR034W-A	11326	11666	6967	7681	11646	13767	9960	13499	12184	16647	
YNR035C	3911	3896	3972	4107	2977	2850	3062	3542	2878	3024	
YNR036C	6152	5170	4651	5282	4234	4667	5819	5850	4858	5241	
YNR037C	1190	870	1395	1432	879	915	1244	1057	1000	1047	
YNR038W	2914	2954	3684	2747	2198	2048	3349	2346	2522	2447	
YNR039C	4696	4024	4736	5094	3431	3652	4433	4553	3926	3973	
YNR040W	839	690	967	1156	513	550	756	781	493	533	
YNR041C	1283	1578	2153	1872	1010	1036	1561	1348	1111	1171	
YNR042W	12	6	18	12	6	5	5	10	5	7	
YNR043W	2919	3340	4676	4549	1950	2195	3166	2222	2736	2818	
YNR044W	1444	1533	2803	2131	1018	940	1306	1024	984	1064	
YNR045W	3683	3697	2782	2871	2780	2494	3094	3481	2736	2912	
YNR046W	1545	1912	1765	1701	1407	1409	1944	1503	1525	1540	
YNR047W	3005	3079	2374	1842	2387	2169	2637	2431	2473	2089	
YNR048W	1680	1936	2071	1803	1432	1276	1761	1359	1499	1535	
YNR049C	1975	1851	1798	2092	1304	1504	1918	1870	1627	1797	
YNR050C	6505	6232	3757	3976	4596	4995	6323	5843	6267	6266	
YNR051C	4895	5203	5177	5998	3608	4201	4879	4159	4732	5296	
YNR052C	3796	3634	3584	3966	2752	2865	3855	3667	3265	3275	
YNR053C	4098	4687	5484	4483	2995	3097	6917	3380	4653	5026	
YNR054C	1305	1237	1464	1810	916	929	1636	1306	1255	1229	
YNR055C	5753	4919	8527	8270	4388	4421	5477	5617	4846	5083	
YNR056C	8403	11475	15204	12558	6027	5827	14715	3981	9831	8892	
YNR057C	2269	3285	7197	6402	1325	1855	3579	1161	2929	2869	
YNR058W	8714	12595	19807	20158	5942	8114	16872	4711	13055	12799	
YNR059W	1944	2191	2577	2175	1568	1222	1790	1639	1543	1386	
YNR060W	413	609	1751	1428	373	251	378	333	343	293	
YNR061C	1842	1846	1784	2031	1463	1447	2201	1696	1587	1584	
YNR062C	10	18	173	113	8	6	7	16	8	6	
YNR063W	754	792	1055	888	554	482	730	591	622	599	
YNR064C	67	73	1315	798	45	27	48	18	45	39	
YNR065C	4415	3430	4377	5113	2394	2562	4338	4031	3640	3855	
YNR066C	1045	743	980	1108	574	569	989	875	791	897	
YNR067C	388	818	551	505	622	791	1106	286	849	921	
YNR068C	6602	4204	5224	5527	4150	4422	5782	6255	5347	4768	
YNR069C	6930	4192	5488	5679	4358	4206	5925	6021	5198	4878	
YNR070W	411	406	1058	974	299	301	327	332	339	338	
YNR071C	301	536	844	1195	317	242	360	243	287	289	
YNR072W	11	25	8	16	10	19	27	11	16	11	
YNR073C	195	374	412	236	204	81	154	120	109	97	
YNR074C	2450	2105	2852	2359	1648	1603	2151	2295	2073	1764	
YNR075W	600	1267	1006	1376	737	1253	1083	399	1222	1287	
YNR075C-A	0	0	0	0	0	0	0	0	0	0	
YNR076W	27	47	29	64	24	22	38	13	47	39	
YNR077C	1	1	2	1	1	0	1	0	2	0	
YOL166W-A	0	0	2	0	0	0	0	0	0	0	
YOL166C	2	6	14	16	4	1	4	2	6	8	
YOL165C	141	135	280	302	75	81	156	121	96	138	
YOL164W-A	4	11	57	42	3	6	12	10	3	10	
YOL164W	3592	3188	3884	3404	2473	2244	3002	2990	2706	2627	
YOL163W	664	822	1004	714	593	495	561	569	542	529	
YOL162W	342	552	820	660	372	298	355	367	316	329	
YOL161C	5	5	13	7	6	5	1	2	1	0	
YOL160W	83	92	250	253	53	38	80	80	58	43	
YOL159C-A	540	430	647	1012	397	322	497	479	399	369	
YOL159C	1622	1181	1637	2048	911	937	1522	1547	1251	1318	
YOL158C	853	978	2702	2111	700	505	664	648	605	531	
YOL157C	106	265	311	206	102	77	120	107	68	74	
YOL156W	64	72	78	51	45	37	58	56	38	53	
YOL155W-A	1	0	2	2	0	0	0	0	0	1	
YOL155C	1042	1758	1945	2193	995	1173	1898	1089	1151	1446	
YOL154W	320	320	1672	1285	236	188	326	225	196	237	
YOL152W	42	62	256	206	60	27	35	37	38	37	
YOL151W	15194	7499	3661	4603	6415	7685	8782	15782	6763	7887	
YOL150C	9	6	31	33	8	7	13	9	8	6	
YOL149W	2110	1970	2009	2387	1356	1489	2356	2148	1906	1858	
YOL148C	2088	1890	2121	2105	1391	1353	2002	1871	1608	1511	
YOL147C	2275	1887	3714	3166	1439	1178	1659	1703	1464	1398	
YOL146W	809	716	857	952	577	577	783	817	702	621	
YOL145C	4521	4332	4050	3778	3188	2813	4361	4020	3695	3514	
YOL144W	1293	1334	1771	1855	876	810	1627	1013	1094	1069	
YOL143C	6587	5095	4974	5348	4388	4462	5519	6162	4602	4746	
YOL142W	1875	1893	1903	1955	1448	1462	1986	1765	1616	1661	
YOL141W	557	671	719	456	417	341	667	433	538	412	
YOL140W	3819	3199	5240	4563	2719	2610	4633	3775	3829	3391	
YOL139C	4584	5309	4736	5040	3531	3523	5687	4008	4399	4224	
YOL138C	3524	3199	4273	4271	2348	2349	3362	2951	2677	2645	
YOL137W	1729	1806	3002	3338	1338	1418	1973	1579	1596	1486	
YOL136C	14897	11844	6421	6134	8845	13375	14649	12319	14126	18850	
YOL135C	1171	1207	1641	1708	863	801	1243	1081	874	911	
YOL134C	11	12	22	10	19	8	6	9	5	5	
YOL133W	3431	3127	3401	3387	2726	2531	3392	3242	2986	2711	
YOL132W	36	43	107	87	42	46	46	53	60	42	
YOL131W	266	288	392	463	209	179	338	231	258	274	
YOL130W	3988	6126	6217	5624	4281	3090	3521	3531	3658	3380	
YOL129W	5297	5635	5786	5640	4063	4455	4551	4944	4536	4725	
YOL128C	2197	2755	1812	1618	1776	1569	3026	1777	2230	2047	
YOL127W	6901	9793	10580	11799	6345	7108	11694	6262	7465	7665	
YOL126C	6106	3932	5251	5047	3119	2791	4094	5670	3696	4148	
YOL125W	2308	2838	2731	2459	1834	1825	2902	2062	2228	2394	
YOL124C	2606	3104	3240	2744	2022	2066	4692	2451	2843	2816	
YOL123W	1885	3582	4598	3194	2189	1920	2556	2098	2278	2258	
YOL122C	2877	2187	4008	4109	1703	1622	2507	2801	2100	2087	
YOL121C	3422	4371	5039	5757	3176	3370	6082	3297	3422	3485	
YOL120C	4300	5972	7579	8549	4000	4150	8219	4511	4823	5014	
YOL119C	20147	13336	20099	17862	13524	14427	16666	18510	16705	16720	
YOL118C	32	20	65	75	24	16	26	24	11	16	
YOL117W	1166	937	1933	1767	829	813	883	1106	880	826	
YOL116W	1205	1153	1431	1477	858	836	1063	1003	819	912	
YOL115W	1794	1753	1975	2265	1322	1299	2104	1897	1669	1696	
YOL114C	355	232	192	212	237	260	257	351	257	269	
YOL113W	930	598	1818	1976	397	396	659	980	555	521	
YOL112W	3055	2311	3839	3792	2008	2110	2692	3068	2448	2518	
YOL111C	2166	2324	2199	2624	1926	2029	2224	2189	1965	2029	
YOL110W	930	1045	2349	1895	706	794	950	897	906	937	
YOL109W	14612	15057	7720	6900	13529	15248	11084	13288	13064	14310	
YOL108C	2465	2196	1800	1946	1569	1663	1888	2109	1889	1672	
YOL107W	350	460	538	382	296	184	367	404	298	260	
YOL106W	14	33	55	37	13	18	23	11	15	9	
YOL105C	1633	2269	2662	1481	1419	889	1588	1404	998	906	
YOL104C	48	191	172	242	73	114	213	37	116	160	
YOL103W	3329	3440	4067	4224	2546	2593	3523	3005	3134	3012	
YOL102C	1359	1373	1554	1691	1005	1032	1390	1228	1213	1351	
YOL101C	1492	5599	2790	5282	2350	4440	3994	903	4599	4663	
YOL100W	4701	4708	7311	8800	3732	3758	3991	4386	3755	3973	
YOL099C	15	19	40	24	11	13	29	28	36	16	
YOL098C	3954	4189	4553	4209	2951	2643	4522	3316	3609	3537	
YOL097W-A	100	112	86	84	76	59	107	88	86	65	
YOL097C	3762	3515	5485	5845	2688	3142	4988	3794	3817	3880	
YOL096C	2101	1852	1868	2280	1475	1515	1611	2275	1327	1452	
YOL095C	949	893	1648	1389	732	560	1019	953	762	674	
YOL094C	920	935	1305	1353	692	703	1329	978	799	891	
YOL093W	384	548	814	924	301	275	660	387	384	342	
YOL092W	4709	4298	4732	4445	3630	4004	4828	4136	4432	4305	
YOL091W	999	829	2142	1976	637	680	1024	1037	999	965	
YOL090W	804	490	1884	1820	361	305	723	697	521	496	
YOL089C	3535	3248	3738	3037	2310	1877	2982	3201	2512	2421	
YOL088C	1884	1828	2225	2311	1443	1313	2127	1967	1616	1667	
YOL087C	5911	5372	5994	6379	4302	3942	4968	5698	4490	4574	
YOL086W-A	1536	1267	1870	1992	998	978	1042	1355	1063	1082	
YOL086C	88496	129626	34191	31415	85385	93622	108298	82621	97935	128276	
YOL085W-A	163	141	130	91	151	155	94	163	126	114	
YOL085C	105	216	54	39	150	81	76	47	78	74	
YOL084W	3694	10765	2849	2276	6717	2224	1982	2079	2445	1496	
YOL083W	2980	2779	3168	3063	2254	1748	2046	2685	1953	1987	
YOL083C-A	5	12	34	26	6	9	9	7	10	13	
YOL082W	6614	5451	3099	3506	4464	4609	6090	6697	5321	5738	
YOL081W	6954	6941	7958	8853	5355	5713	6817	6464	6115	6738	
YOL080C	1285	1243	1538	1520	933	936	1948	1255	1407	1374	
YOL079W	9	10	17	16	5	6	3	6	3	4	
YOL078W	2864	2975	2871	2710	2049	1724	2723	2328	2266	2166	
YOL077W-A	2576	2382	3871	4270	1982	2000	2496	2620	1905	2419	
YOL077C	3003	3617	3226	3299	2338	2577	4300	2818	3186	3049	
YOL076W	885	767	1156	865	585	575	927	956	739	637	
YOL075C	2703	2657	3419	3860	1912	2042	2778	2299	2360	2440	
YOL073C	2918	2493	2124	2422	2182	2322	2358	2955	2157	2421	
YOL072W	1741	1543	1572	1746	1284	1338	1791	1724	1310	1368	
YOL071W	1802	1545	2523	3303	1249	1120	1391	1758	1291	1454	
YOL070C	1565	1459	2092	2070	983	893	1511	1418	1127	1239	
YOL069W	505	439	652	637	378	374	504	501	424	413	
YOL068C	6692	6339	7572	7403	4892	5162	6574	5509	5700	5727	
YOL067C	1709	1769	2340	2307	1147	1249	1868	1369	1437	1713	
YOL066C	1904	1691	2643	2680	1279	1322	2188	1917	1434	1457	
YOL065C	1831	1372	1422	1730	1237	1185	1500	1854	1320	1439	
YOL064C	11566	8486	9500	10334	7682	10702	11091	12670	11460	11875	
YOL063C	2754	2496	3081	3163	1959	1819	2501	2478	2058	2130	
YOL062C	4217	4125	3979	3854	3342	3002	4221	3981	3236	3406	
YOL061W	5284	5569	5345	5252	4043	4021	6019	4791	4646	4890	
YOL060C	5475	4717	6732	7943	4127	3641	5128	6049	4195	4397	
YOL059W	11923	13188	10180	9431	10709	9894	14018	10779	11787	13121	
YOL058W	47171	35522	27714	24201	36495	39579	48955	37530	51217	52610	
YOL057W	2098	2170	2833	2706	1571	1507	2090	2013	1816	1855	
YOL056W	844	732	859	1259	513	637	828	911	719	749	
YOL055C	13365	10704	15149	16388	7305	9253	15503	12993	13031	14650	
YOL054W	2028	2316	1508	1581	1577	1358	2243	1890	1757	1686	
YOL053W	1744	1813	2432	2369	1259	1125	1433	1739	1142	1088	
YOL052C-A	49003	34753	22864	19409	40439	36946	32352	46809	32584	35732	
YOL052C	1900	2752	2873	2183	1847	1618	2437	1686	1689	1928	
YOL051W	9012	9387	15	15	7556	6926	9221	8803	9566	10081	
YOL050C	10	11	86	86	4	4	0	2	3	1	
YOL049W	2681	2018	3283	3283	1685	1811	2325	2758	1885	2062	
YOL048C	1763	1349	1670	1577	1276	1225	1132	2040	1336	1341	
YOL047C	704	792	579	256	740	669	812	823	1001	1000	
YOL046C	0	1	2	4	4	1	2	0	0	1	
YOL045W	4777	4446	5561	5283	3263	3146	4834	4357	4300	4343	
YOL044W	3404	2726	3074	2658	2261	2541	2856	2903	2580	2575	
YOL043C	2360	2178	2414	2347	1665	1610	2335	2196	1804	1763	
YOL042W	2101	1908	2463	2760	1447	1337	2022	2016	1638	1642	
YOL041C	2925	3019	3085	3012	2083	2033	4280	2716	2778	2917	
YOL040C	10317	13051	16549	17958	9718	9785	16672	9587	10218	11146	
YOL039W	3286	4658	6198	6999	3148	3378	6558	3058	3641	3705	
YOL038C-A	129	114	89	81	77	72	131	116	96	118	
YOL038W	4204	3827	4643	4727	2548	2643	4124	3630	2944	3091	
YOL037C	57	49	98	57	42	43	32	49	33	50	
YOL036W	8495	8481	10902	11333	6510	6631	8671	7378	7639	7987	
YOL035C	3	2	2	4	2	7	6	4	2	0	
YOL034W	1722	1614	2693	2779	969	874	1885	1736	1336	1208	
YOL033W	1039	1059	1335	1318	716	696	1104	1008	802	785	
YOL032W	1095	756	1037	1508	630	734	599	1158	521	691	
YOL031C	2063	2331	2194	2093	1555	1358	2436	1990	1687	1634	
YOL030W	11252	12916	20788	22050	8742	8492	12085	9561	8891	10357	
YOL029C	1289	1377	1948	1847	950	1008	1320	1019	1092	984	
YOL028C	1171	1359	1962	1943	901	887	1330	978	1093	1016	
YOL027C	13545	11840	12707	13552	9098	9969	11579	11726	11132	11749	
YOL026C	1499	1444	984	1102	1135	1219	1381	1330	1119	1311	
YOL025W	2782	2538	3820	3785	1734	1706	2184	2372	2059	2003	
YOL024W	76	72	260	174	59	40	72	82	62	57	
YOL023W	1503	1506	1551	1813	1141	990	1561	1632	1218	1034	
YOL022C	2152	2107	2058	2268	1570	1535	2542	2027	1934	2010	
YOL021C	2654	3260	3796	3189	2163	1806	3281	2454	2566	2396	
YOL020W	2023	2513	7219	5393	1341	1200	2744	1509	1754	1841	
YOL019W-A	0	0	2	0	0	1	0	0	0	0	
YOL019W	1100	1362	2914	2526	731	443	1180	782	874	813	
YOL018C	2380	2545	2360	2613	1690	1687	2411	2071	2010	1983	
YOL017W	653	496	1300	1309	420	339	570	659	430	448	
YOL016C	14369	19357	11913	7020	14766	14840	8443	8884	13010	12980	
YOL015W	1264	1339	2054	1935	985	850	867	976	1022	911	
YOL014W	80	180	126	27	142	171	62	54	104	118	
YOL013W-B	1	3	15	22	3	1	5	2	0	6	
YOL013W-A	4	7	12	3	4	5	3	7	0	3	
YOL013C	2653	2802	2975	3208	2161	2231	2444	2624	2205	2361	
YOL012C	851	899	746	755	743	711	849	775	731	797	
YOL011W	7355	8315	6848	5008	7539	10760	5335	4956	9219	11595	
YOL010W	2662	2556	3098	2722	2023	1914	3372	2445	2476	2609	
YOL009C	941	1044	1195	1310	728	570	942	1008	736	751	
YOL008W	868	820	839	758	581	514	877	785	618	620	
YOL007C	52	26	203	316	16	22	42	56	38	44	
YOL006C	3797	3738	4613	5851	2620	2816	4407	3190	3405	3532	
YOL005C	1499	1601	1689	1803	1187	1222	1719	1464	1296	1424	
YOL004W	3719	3603	4143	4564	2538	2217	3679	3291	2891	2851	
YOL003C	1328	1196	1291	1416	913	902	1296	1189	1045	954	
YOL002C	7405	10314	4971	7797	6077	7896	9234	5265	10156	10241	
YOL001W	1909	2254	2613	2863	1542	1615	1955	1691	1644	1759	
YOR001W	3385	3547	3465	3773	2698	2623	3317	2865	2759	2772	
YOR002W	3592	3118	3953	4184	2582	2756	3183	3286	2802	3102	
YOR003W	3941	3057	3186	4128	2724	2613	3710	3531	3203	3148	
YOR004W	1791	1787	1845	1988	1230	1541	2286	1785	1672	1697	
YOR005C	2835	2733	3753	3727	2003	1904	2674	2655	2162	2157	
YOR006C	929	1257	1408	1575	757	753	1295	914	996	1060	
YOR007C	17830	16703	20911	23077	13024	15009	18909	16648	15924	17959	
YOR008C	9400	10726	9768	9656	7839	7515	9866	8664	8571	8794	
YOR008C-A	2	9	13	16	14	8	7	10	7	14	
YOR008W-B	135	152	153	88	116	64	108	107	92	73	
YOR009W	1439	5619	6158	7517	2077	2518	6701	1011	4082	3741	
YOR010C	1504	1970	1647	1703	1415	1309	2368	1365	1796	1676	
YOR011W	2146	3982	4017	3280	1970	2382	4990	1636	3062	2893	
YOR011W-A	15	15	36	27	13	8	9	7	7	19	
YOR012W	380	345	632	787	296	326	553	485	464	454	
YOR013W	355	322	715	855	238	332	504	453	374	442	
YOR014W	6801	6341	7580	8220	5151	5178	6255	6524	5658	5828	
YOR015W	1034	924	1102	1103	785	796	860	966	828	855	
YOR016C	2735	2421	2663	2990	1994	2011	2659	2614	2214	2319	
YOR017W	1859	1950	2083	2117	1339	1240	1772	1869	1513	1425	
YOR018W	1459	1402	1715	2439	1088	1122	1135	1742	1091	1156	
YOR019W	2053	2299	2056	2018	1595	1432	1855	1640	1716	1526	
YOR020C	4419	3464	4609	4915	3193	3190	4157	3782	3395	3557	
YOR020W-A	3392	2834	3139	3598	2289	2335	2934	3208	2757	2993	
YOR021C	2963	2781	2087	2250	2033	2096	2678	2608	2387	2320	
YOR022C	1676	1478	1988	2281	999	1039	1423	1618	1204	1222	
YOR023C	6649	6826	7567	7090	5293	4886	5573	5881	4929	5401	
YOR024W	12	12	21	22	16	6	13	3	12	2	
YOR025W	207	269	393	348	147	92	190	172	144	147	
YOR026W	596	565	842	792	346	373	655	529	441	464	
YOR027W	9731	6944	9038	10770	7465	7615	7634	10138	7511	8559	
YOR028C	19343	28451	5619	2943	21146	9062	17093	13567	8177	5819	
YOR029W	57	65	45	22	61	30	50	36	25	29	
YOR030W	3738	4143	4020	3919	2997	2474	3517	3362	3038	2814	
YOR032C	6440	7431	1837	777	5906	3891	6025	4353	4196	4164	
YOR032W-A	150	147	103	78	115	108	126	144	101	93	
YOR033C	1280	1369	2336	2777	868	787	1325	1293	1096	1029	
YOR034C	3089	3612	5070	5262	2378	2248	3581	2494	2903	2796	
YOR034C-A	217	251	295	236	194	177	205	220	175	174	
YOR035C	4352	4379	4130	3558	3038	2677	2883	3169	3049	2765	
YOR036W	6734	6711	5656	4871	5073	5051	4746	5691	5135	5574	
YOR037W	1647	1672	1597	1696	1153	1038	1393	1493	1209	1170	
YOR038C	1232	1228	1565	1534	937	841	1263	1202	986	920	
YOR039W	3492	3026	3613	4082	2371	2632	3647	3550	3111	3027	
YOR040W	3925	3348	4161	4403	2901	2901	3496	3586	3191	3366	
YOR041C	57	62	36	29	48	51	33	60	55	35	
YOR042W	5832	5301	4254	4780	4253	4197	4352	5064	4005	4470	
YOR043W	7272	6635	6966	7221	5493	5612	7279	7054	5909	6244	
YOR044W	6258	6032	6070	6518	5268	5838	5291	5613	4968	5640	
YOR045W	1587	1457	1742	1707	1183	1357	1604	1458	1419	1406	
YOR046C	3106	3269	3574	3644	2256	2270	3763	2849	2807	2817	
YOR047C	4172	4062	3529	3225	3383	3585	3363	3665	3421	3713	
YOR048C	5031	5314	4539	4425	3816	3569	5169	4154	4335	4077	
YOR049C	1893	3431	586	794	2613	3077	1717	1838	1855	2239	
YOR050C	2	14	2	5	15	28	3	2	2	8	
YOR051C	4703	6220	4446	5251	4130	5200	7325	4413	5915	6334	
YOR052C	28437	32423	13826	11499	24843	23425	27691	22655	24708	26502	
YOR053W	44	33	17	19	34	23	17	22	31	21	
YOR054C	6489	5902	3373	4109	4593	4772	4964	7024	4685	5153	
YOR055W	0	12	15	6	15	6	6	14	4	17	
YOR056C	5971	6253	5164	5058	4314	4322	6190	5511	4941	5042	
YOR057W	3307	2782	3263	3517	2218	2336	2958	3300	2410	2565	
YOR058C	2486	2679	3720	3640	1885	1873	2172	2325	2283	2268	
YOR059C	5535	4939	5955	5768	3914	4020	4832	4500	4051	4631	
YOR060C	1509	1312	1236	1113	969	929	1389	1213	1045	1111	
YOR061W	4469	4912	5134	4915	3401	3189	4985	4122	4031	4228	
YOR062C	16139	18081	4996	2775	15306	11429	15885	12710	11486	11252	
YOR063W	17373	25436	30230	29673	16416	17898	35797	17085	21080	21546	
YOR064C	2242	1899	1914	2017	1701	1673	1938	1936	1766	1663	
YOR065W	8187	7616	15915	15103	5925	5280	6266	8023	5390	5949	
YOR066W	3584	3876	3417	3597	2943	2801	3231	3388	2605	2772	
YOR067C	2888	2978	3574	3691	2237	2407	3223	2658	2624	2695	
YOR069W	3196	3097	3369	3399	2446	2075	2906	2908	2292	2522	
YOR068C	2	2	5	9	4	1	1	4	0	2	
YOR070C	3433	3527	3630	3694	2387	2370	3267	3449	2604	2833	
YOR071C	2722	3301	3667	3659	2102	2107	3835	2459	2817	2975	
YOR072W	47	57	111	97	38	23	42	31	40	44	
YOR072W-A	59	58	90	92	49	46	63	58	53	69	
YOR072W-B	0	1	0	0	0	0	0	0	0	0	
YOR073W	331	401	680	541	272	173	401	322	240	202	
YOR074C	284	218	768	832	155	118	262	252	157	171	
YOR073W-A	0	0	1	1	0	0	0	0	0	0	
YOR075W	1312	1070	1318	1662	743	820	1154	1088	935	938	
YOR076C	1890	1592	2191	2164	1323	1222	2046	1980	1441	1456	
YOR077W	782	847	1038	951	545	541	907	701	598	650	
YOR078W	2193	2227	2192	2478	1394	1518	2735	1937	1890	1957	
YOR079C	850	739	889	903	591	530	1129	1030	781	659	
YOR080W	1662	1196	2009	2021	967	895	1601	1535	1314	1266	
YOR081C	2783	2828	4512	4334	1957	1988	2640	2614	2222	2421	
YOR082C	3	3	5	2	2	3	0	1	1	1	
YOR083W	163	175	454	456	129	103	182	179	127	158	
YOR084W	874	1039	1282	1043	821	498	726	820	587	578	
YOR085W	2193	2365	3115	3485	1823	1763	2443	2316	1833	2066	
YOR086C	7352	5086	6966	8212	4840	4444	6240	7525	4926	5497	
YOR087W	1396	1297	1847	1627	928	811	1315	1279	1008	1025	
YOR089C	8073	9122	7424	7791	6095	6181	7304	6961	7277	7057	
YOR090C	2805	2405	2470	2775	1867	1707	2532	2539	2030	2050	
YOR091W	2957	3233	2711	2583	2114	1949	3592	2733	2354	2199	
YOR092W	3276	3727	4599	5375	3348	4031	3606	4229	3574	3804	
YOR093C	1979	1792	2256	2091	1230	1048	1840	1738	1308	1281	
YOR094W	1064	960	874	909	662	634	1177	980	824	743	
YOR095C	1153	1321	1724	1257	910	845	1773	987	1111	1082	
YOR096W	4145	6486	6139	7291	4275	4300	8286	4341	5025	5050	
YOR097C	2046	1713	2169	2574	1407	1491	1832	1933	1726	1662	
YOR098C	4931	5867	4416	4223	3959	3515	5432	4052	4308	4292	
YOR099W	7485	8318	7355	7319	5874	5870	7807	6674	6657	6864	
YOR100C	2816	3404	2890	1845	3101	1898	2246	2608	1976	1712	
YOR101W	2149	2810	2070	1199	1988	1515	2448	1702	1734	1622	
YOR102W	17	26	19	4	21	8	21	11	13	7	
YOR103C	1121	1110	1523	1714	751	737	1220	1091	1045	1021	
YOR104W	1603	1116	1564	1591	855	857	1487	1507	1245	1244	
YOR105W	462	380	438	545	269	231	406	467	360	404	
YOR106W	1746	2088	1799	1975	1245	1420	1949	1506	1552	1770	
YOR107W	5149	4007	1535	1430	3395	5753	6688	5626	6624	8404	
YOR108W	7667	6712	10610	9067	5672	5903	8583	7476	7075	6890	
YOR108C-A	14	18	33	56	7	23	10	10	13	11	
YOR109W	3106	3225	4295	4512	2210	2161	2995	2655	2607	2581	
YOR110W	2137	1989	2214	2990	1575	1668	2111	2230	1878	1999	
YOR111W	1027	880	1151	1273	705	653	913	976	774	827	
YOR112W	1288	1176	1524	1527	963	872	1330	1162	939	950	
YOR113W	4569	4063	4712	4456	3409	2704	3619	3915	3019	2999	
YOR114W	764	518	1250	1405	479	474	565	671	564	522	
YOR115C	1389	1259	1193	1532	923	969	1387	1340	1060	1171	
YOR116C	3913	4600	4383	4647	3008	3005	4637	3343	3584	3536	
YOR117W	8568	8654	9423	10384	6260	6422	9193	7675	7577	7967	
YOR118W	3222	2897	3662	3818	2438	2310	2914	2924	2348	2685	
YOR119C	4646	5227	4263	3453	4071	3293	4821	3989	3959	3883	
YOR120W	17667	14989	15159	14462	14576	13435	12032	17676	12858	13604	
YOR121C	72	118	138	130	65	79	73	111	88	80	
YOR122C	11295	10278	14442	14179	8344	8663	10600	10008	8636	8965	
