gene	LAB.A	LAB.B	med15.A	med15.B	WY7.A	WY7.B	WY15.A	WY15.B	WY23.A	WY23.B	
YEL012W	3238	3146	2906	3471	2183	2163	2310	3135	2230	2535	
YEL011W	9156	16581	6019	5939	11454	6310	4226	8832	5192	4816	
YEL010W	15	11	51	51	6	3	13	6	9	16	
YEL009C-A	31	45	199	194	30	32	67	67	34	37	
YEL009C	37788	43787	43610	44067	31323	34635	48246	38039	39887	42973	
YEL008W	71	76	82	78	47	33	45	54	56	54	
YEL008C-A	52	28	42	28	27	44	30	33	32	39	
YEL007W	1791	2479	4353	3368	1543	1354	1801	1419	1206	1180	
YEL006W	4326	3814	4120	3902	3096	3032	4247	3915	3471	3448	
YEL005C	2837	2050	2604	3096	1808	1898	2324	2692	1998	2093	
YEL004W	880	818	1334	1415	628	660	772	865	653	680	
YEL003W	994	905	1235	1411	610	792	1160	1029	980	976	
YEL002C	4026	4414	5018	5073	3121	3014	4184	3649	3442	3607	
YEL001C	2714	3069	3256	3547	2183	2099	3262	2606	2674	2805	
YER001W	2771	4371	4152	2924	2558	2096	3211	2030	2518	2592	
YER002W	3758	4176	3616	4157	2498	2498	4478	3377	3481	3667	
YER003C	1135	979	2365	2827	688	681	1088	994	854	929	
YER004W	6504	6214	10653	10531	4990	4927	6905	5641	5478	6076	
YER005W	3965	4503	3865	4042	3142	3183	4410	3423	3743	3777	
YER006W	3692	4024	4413	3747	2784	2744	4794	3112	3509	3562	
YER006C-A	21	10	37	38	11	14	14	15	14	15	
YER007W	1115	1140	1506	1581	844	770	1188	1100	889	856	
YER007C-A	1295	1443	1673	1679	978	981	1528	1255	1248	1196	
YER008C	4254	3852	4224	4937	3051	2761	4086	4094	3566	3464	
YER009W	2011	2328	2934	3269	1493	1684	2312	1735	1815	1908	
YER010C	3951	3676	4002	4418	3013	3222	4026	3558	3694	3667	
YER011W	192	1898	802	1710	508	786	2754	122	1670	1665	
YER012W	4142	4571	5766	6409	2780	2849	4276	3430	3527	3937	
YER013W	2597	2652	2822	2818	1865	1323	2650	2517	2021	1725	
YER014W	3110	3582	3628	3740	2305	2264	3742	2870	2952	3004	
YER014C-A	7	14	16	14	12	7	9	4	3	10	
YER015W	2669	2890	3005	2612	1905	1288	1937	1881	1597	1417	
YER016W	786	688	986	1036	506	491	765	780	591	551	
YER017C	7840	7137	7540	7843	5521	5723	7485	7366	6383	6692	
YER018C	597	769	1716	1644	430	435	690	544	525	587	
YER019W	1241	1424	1758	1676	975	1060	1414	1394	1194	1203	
YER019C-A	4105	4424	4837	4618	3140	3449	4005	3801	3890	3749	
YER020W	9943	13347	7206	5320	9824	7672	7503	7120	7606	7669	
YER021W	7319	7013	7573	8854	5092	5441	6971	6149	6067	6899	
YER022W	2416	1972	2278	2276	1522	1506	2193	2086	1817	1771	
YER023W	2593	2682	2230	2245	1831	1817	2683	2228	1979	2135	
YER023C-A	40	33	157	80	41	28	34	39	31	26	
YER024W	10664	8347	23933	17489	6310	6809	8716	8142	9168	8492	
YER025W	5178	6369	5847	5796	4492	4481	6606	4622	5140	5212	
YER026C	8378	10764	6045	3514	7964	4507	6935	7166	6059	5046	
YER027C	3553	2947	3250	3572	2711	2709	2990	3147	2706	2896	
YER028C	3213	3566	3007	2292	2872	2350	2701	2708	2246	2372	
YER029C	1986	2072	1580	1477	1404	1231	1724	1715	1422	1421	
YER030W	2580	2587	2497	2309	1893	1723	2319	2502	2162	2091	
YER031C	2016	2074	1917	2068	1417	1476	2161	1819	1717	1670	
YER032W	561	828	1307	1069	469	267	638	391	396	382	
YER033C	2715	2930	3589	3377	2062	1778	2761	2299	2144	2251	
YER034W	934	873	1625	1977	625	670	1020	1009	741	765	
YER035W	7892	9288	4193	5004	6562	7703	7914	7532	7170	8727	
YER036C	15937	20664	12942	9702	15122	15203	22609	15261	17034	18058	
YER037W	24407	21834	8087	11591	15074	22465	31277	29899	28103	32311	
YER038C	1398	1346	1493	1317	983	999	1324	1180	1137	1217	
YER038W-A	96	80	148	133	50	65	76	52	65	70	
YER039C	1668	1244	1396	1267	1379	1299	1598	1743	1440	1377	
YER039C-A	763	467	514	462	532	618	639	734	617	614	
YER040W	6480	4641	4882	5396	4367	4762	5417	5550	4977	5301	
YER041W	2909	3007	3994	4083	2105	2103	3218	2654	2384	2436	
YER042W	6456	5410	8153	7096	4681	4534	5091	5841	5148	4823	
YER043C	7009	11105	12740	12628	6302	7023	12772	5572	9202	9624	
YER044C	2732	4304	2883	3367	2414	3009	4765	2517	3497	3723	
YER044C-A	31	78	174	161	28	40	58	33	42	43	
YER045C	4288	7430	3426	3364	4256	4022	6362	3684	3781	4076	
YER046W	860	1267	865	675	658	550	1045	752	733	653	
YER046W-A	13	14	31	29	7	4	7	12	6	2	
YER047C	3414	3841	5578	4798	2742	2185	3022	2978	2577	2514	
YER048C	5858	5456	6229	6501	4367	4300	4958	5062	4602	4658	
YER048W-A	2911	2768	2387	2928	1859	1925	2448	2447	2259	2348	
YER049W	7205	5947	8670	9564	4383	5416	8174	6767	7068	7189	
YER050C	3264	2822	2375	2497	2124	2100	3359	3260	2922	2759	
YER051W	4242	3656	6077	5340	3262	3253	3196	3714	3251	3297	
YER052C	18895	10772	15454	16993	11875	18929	19784	21275	20412	23712	
YER053C	18863	14875	17487	18013	15284	18319	13548	20996	14500	16999	
YER053C-A	6436	2376	3919	3162	3534	3219	2260	7092	2319	2641	
YER054C	2942	3296	4116	4488	2718	1982	2080	3338	2046	2064	
YER055C	9061	6275	7861	10656	5053	7436	11776	12087	10288	10419	
YER056C	54164	46440	21657	19128	33929	38616	66472	44745	53171	54729	
YER056C-A	3020	4232	4974	5312	3080	3053	5885	3190	3503	3631	
YER057C	4894	4884	6317	6952	3842	4170	5811	4748	4590	4724	
YER058W	808	555	650	781	503	509	700	783	637	629	
YER059W	2031	1646	1941	1996	1303	1328	1622	1914	1362	1571	
YER060W	1255	1552	6254	5611	1013	981	1303	829	1158	1111	
YER060W-A	1774	1744	1067	1174	1251	1271	1734	1450	1633	1578	
YER061C	2783	2467	4431	4192	1724	1678	2646	2252	2181	2258	
YER062C	21519	18631	8502	11764	15934	27466	28859	27158	28196	34018	
YER063W	5185	4726	3192	3359	3910	3638	4978	5020	4013	4325	
YER064C	3207	4582	7528	5293	3482	1973	4228	2040	3123	2658	
YER065C	3381	3514	3466	3230	2577	2331	3055	2969	2664	2710	
YER066W	1803	1603	1759	1948	1495	1441	1531	1777	1505	1467	
YER066C-A	64	42	39	47	43	38	55	48	42	39	
YER067W	1596	3085	694	677	2017	1625	570	1403	1031	1154	
YER067C-A	29	15	25	21	18	25	25	19	20	16	
YER068W	5064	4776	5003	4581	3758	3340	5198	4521	3947	4106	
YER068C-A	8	4	131	126	9	6	4	6	5	4	
YER069W	20823	16977	10265	9479	15285	16059	23038	19068	23906	23661	
YER070W	483	526	2824	2183	254	225	549	363	325	298	
YER071C	791	684	945	1195	551	618	933	767	747	688	
YER072W	2862	2536	3392	4173	1928	1940	2924	2276	2244	2241	
YER073W	36909	30851	19436	17485	32208	41212	39264	34147	41392	44783	
YER074W	2761	3301	3795	4124	2435	2462	4655	2392	2678	2709	
YER074W-A	487	394	508	578	329	367	479	558	455	515	
YER075C	3563	4446	3686	2858	2760	2226	4137	2867	2883	2696	
YER076C	727	787	1775	1619	478	490	706	664	589	470	
YER076W-A	85	90	172	196	71	53	78	69	65	76	
YER077C	2265	2084	2647	2530	1293	1238	2507	2194	1756	1712	
YER078C	2349	2024	3545	3605	1590	1556	2240	2156	1885	1922	
YER078W-A	23	28	69	68	22	22	21	28	29	23	
YER079W	4724	3693	5423	5915	3238	3132	3886	4576	3649	3987	
YER079C-A	0	2	1	0	0	1	0	1	0	0	
YER080W	5155	4293	5169	6330	3668	3829	4380	4757	4114	4301	
